,comparacao,distancia
0,7721347_132865_emenda_jus.txt_3,0.2020145354388131
1,7721347_132865_emenda_jus.txt_5,0.2105082946633963
2,7721347_132865_emenda_jus.txt_7,0.21702977519267105
3,7721347_132865_emenda_jus.txt_9,0.20010201755608614
4,7721347_132865_emenda_jus.txt_13,0.2105310729721945
5,7721347_132865_emenda_jus.txt_21,0.21041891635849677
6,7721347_132865_emenda_jus.txt_23,0.21211940505584526
7,7721347_132865_emenda_jus.txt_25,0.23199699232407806
8,7721347_132865_emenda_jus.txt_43,0.2105310729721945
9,7721347_132865_emenda_jus.txt_57,0.203336011547874
10,7721347_132865_emenda_jus.txt_59,0.2613739401680226
11,7721347_132865_emenda_jus.txt_63,0.2613739401680226
12,7721347_132865_emenda_jus.txt_73,0.22930036481548036
13,7721347_132865_emenda_jus.txt_81,0.21511880499004993
14,7721347_132865_emenda_jus.txt_87,0.2570098512231692
15,7721347_132865_emenda_jus.txt_95,0.24839036910498935
16,7721347_132865_emenda_jus.txt_99,0.0
17,7721347_132865_emenda_jus.txt_103,0.0
18,7721347_132865_emenda_jus.txt_109,0.2750436616295997
19,7721347_132865_emenda_jus.txt_113,0.2672760005707136
20,7721347_132865_emenda_jus.txt_119,0.2105310729721945
21,7723721_132865_emenda_jus.txt_3,0.19263333023564294
22,7723721_132865_emenda_jus.txt_5,0.1938757783659143
23,7723721_132865_emenda_jus.txt_7,0.1980386514353449
24,7723721_132865_emenda_jus.txt_9,0.18944789983621682
25,7723721_132865_emenda_jus.txt_13,0.21653161093282805
26,7723721_132865_emenda_jus.txt_21,0.20235092552692616
27,7723721_132865_emenda_jus.txt_23,0.21467060538043686
28,7723721_132865_emenda_jus.txt_25,0.21980883384160108
29,7723721_132865_emenda_jus.txt_43,0.21653161093282805
30,7723721_132865_emenda_jus.txt_57,0.21241477474548115
31,7723721_132865_emenda_jus.txt_59,0.2697243719305526
32,7723721_132865_emenda_jus.txt_63,0.2697243719305526
33,7723721_132865_emenda_jus.txt_73,0.2346245588606901
34,7723721_132865_emenda_jus.txt_81,0.2214890885844312
35,7723721_132865_emenda_jus.txt_87,0.25668284679445325
36,7723721_132865_emenda_jus.txt_95,0.2495189502558591
37,7723721_132865_emenda_jus.txt_99,0.0
38,7723721_132865_emenda_jus.txt_103,0.0
39,7723721_132865_emenda_jus.txt_109,0.28147212562321067
40,7723721_132865_emenda_jus.txt_113,0.2684971238260012
41,7723721_132865_emenda_jus.txt_119,0.21653161093282805
42,7723467_132865_emenda_jus.txt_3,0.18461822777854806
43,7723467_132865_emenda_jus.txt_5,0.18791819138572405
44,7723467_132865_emenda_jus.txt_7,0.19027027754611253
45,7723467_132865_emenda_jus.txt_9,0.1970841640058225
46,7723467_132865_emenda_jus.txt_13,0.2237094784076833
47,7723467_132865_emenda_jus.txt_21,0.20330366880010436
48,7723467_132865_emenda_jus.txt_23,0.21283279851015405
49,7723467_132865_emenda_jus.txt_25,0.21479358611712504
50,7723467_132865_emenda_jus.txt_43,0.2237094784076833
51,7723467_132865_emenda_jus.txt_57,0.2182333136992053
52,7723467_132865_emenda_jus.txt_59,0.2733221848690904
53,7723467_132865_emenda_jus.txt_63,0.2733221848690904
54,7723467_132865_emenda_jus.txt_73,0.22495880128973425
55,7723467_132865_emenda_jus.txt_81,0.22579059176106644
56,7723467_132865_emenda_jus.txt_87,0.24299397475783915
57,7723467_132865_emenda_jus.txt_95,0.25848706547783346
58,7723467_132865_emenda_jus.txt_99,0.0
59,7723467_132865_emenda_jus.txt_103,0.0
60,7723467_132865_emenda_jus.txt_109,0.280396559878385
61,7723467_132865_emenda_jus.txt_113,0.26371599596495254
62,7723467_132865_emenda_jus.txt_119,0.2237094784076833
63,7723449_132865_emenda_jus.txt_3,0.2086282431746648
64,7723449_132865_emenda_jus.txt_5,0.20749950514990517
65,7723449_132865_emenda_jus.txt_7,0.21859561877456404
66,7723449_132865_emenda_jus.txt_9,0.20884766858917736
67,7723449_132865_emenda_jus.txt_13,0.21207370114346194
68,7723449_132865_emenda_jus.txt_21,0.20297515254863652
69,7723449_132865_emenda_jus.txt_23,0.21922051049426772
70,7723449_132865_emenda_jus.txt_25,0.22455823612525522
71,7723449_132865_emenda_jus.txt_43,0.21207370114346194
72,7723449_132865_emenda_jus.txt_57,0.19463124525683378
73,7723449_132865_emenda_jus.txt_59,0.25772111281791943
74,7723449_132865_emenda_jus.txt_63,0.25772111281791943
75,7723449_132865_emenda_jus.txt_73,0.2317326210966075
76,7723449_132865_emenda_jus.txt_81,0.22156743448929891
77,7723449_132865_emenda_jus.txt_87,0.2587523928852436
78,7723449_132865_emenda_jus.txt_95,0.23692337849888845
79,7723449_132865_emenda_jus.txt_99,0.0
80,7723449_132865_emenda_jus.txt_103,0.0
81,7723449_132865_emenda_jus.txt_109,0.2776840811539862
82,7723449_132865_emenda_jus.txt_113,0.27147811993632137
83,7723449_132865_emenda_jus.txt_119,0.21207370114346194
84,7723727_132865_emenda_jus.txt_3,0.20409341849682247
85,7723727_132865_emenda_jus.txt_5,0.21690196356585698
86,7723727_132865_emenda_jus.txt_7,0.21375598773845805
87,7723727_132865_emenda_jus.txt_9,0.20182170481733347
88,7723727_132865_emenda_jus.txt_13,0.20913184048222566
89,7723727_132865_emenda_jus.txt_21,0.20354581664413482
90,7723727_132865_emenda_jus.txt_23,0.21270942180010544
91,7723727_132865_emenda_jus.txt_25,0.22740308674726398
92,7723727_132865_emenda_jus.txt_43,0.20913184048222566
93,7723727_132865_emenda_jus.txt_57,0.20322385772909063
94,7723727_132865_emenda_jus.txt_59,0.2643882961259089
95,7723727_132865_emenda_jus.txt_63,0.2643882961259089
96,7723727_132865_emenda_jus.txt_73,0.2325971875091255
97,7723727_132865_emenda_jus.txt_81,0.21733648382921764
98,7723727_132865_emenda_jus.txt_87,0.25184019006415004
99,7723727_132865_emenda_jus.txt_95,0.2501685960150155
100,7723727_132865_emenda_jus.txt_99,0.0
101,7723727_132865_emenda_jus.txt_103,0.0
102,7723727_132865_emenda_jus.txt_109,0.2783772108266366
103,7723727_132865_emenda_jus.txt_113,0.2633220340399443
104,7723727_132865_emenda_jus.txt_119,0.20913184048222566
105,7721323_132865_emenda_jus.txt_3,0.20340445924925832
106,7721323_132865_emenda_jus.txt_5,0.19139184234243126
107,7721323_132865_emenda_jus.txt_7,0.1950801313866061
108,7721323_132865_emenda_jus.txt_9,0.17752239315129129
109,7721323_132865_emenda_jus.txt_13,0.22137029006933015
110,7721323_132865_emenda_jus.txt_21,0.17631934880301997
111,7721323_132865_emenda_jus.txt_23,0.21613080323938308
112,7721323_132865_emenda_jus.txt_25,0.21030828705451604
113,7721323_132865_emenda_jus.txt_43,0.22137029006933015
114,7721323_132865_emenda_jus.txt_57,0.2140895683164018
115,7721323_132865_emenda_jus.txt_59,0.2726717435674359
116,7721323_132865_emenda_jus.txt_63,0.2726717435674359
117,7721323_132865_emenda_jus.txt_73,0.2335258188926893
118,7721323_132865_emenda_jus.txt_81,0.22598619818607224
119,7721323_132865_emenda_jus.txt_87,0.2591625668637735
120,7721323_132865_emenda_jus.txt_95,0.2522098934824322
121,7721323_132865_emenda_jus.txt_99,0.0
122,7721323_132865_emenda_jus.txt_103,0.0
123,7721323_132865_emenda_jus.txt_109,0.28430649851162093
124,7721323_132865_emenda_jus.txt_113,0.2676506647239206
125,7721323_132865_emenda_jus.txt_119,0.22137029006933015
126,7723479_132865_emenda_jus.txt_3,0.19885742624834826
127,7723479_132865_emenda_jus.txt_5,0.18934413003529368
128,7723479_132865_emenda_jus.txt_7,0.20366657966359086
129,7723479_132865_emenda_jus.txt_9,0.19252322769340344
130,7723479_132865_emenda_jus.txt_13,0.22254544082403774
131,7723479_132865_emenda_jus.txt_21,0.20915002023977058
132,7723479_132865_emenda_jus.txt_23,0.20574921401324284
133,7723479_132865_emenda_jus.txt_25,0.22063581569001325
134,7723479_132865_emenda_jus.txt_43,0.22254544082403774
135,7723479_132865_emenda_jus.txt_57,0.2184199772706338
136,7723479_132865_emenda_jus.txt_59,0.2672316487724578
137,7723479_132865_emenda_jus.txt_63,0.2672316487724578
138,7723479_132865_emenda_jus.txt_73,0.2276243916631601
139,7723479_132865_emenda_jus.txt_81,0.2192878308264756
140,7723479_132865_emenda_jus.txt_87,0.2455868657890932
141,7723479_132865_emenda_jus.txt_95,0.24767930172042582
142,7723479_132865_emenda_jus.txt_99,0.0
143,7723479_132865_emenda_jus.txt_103,0.0
144,7723479_132865_emenda_jus.txt_109,0.28280389291623953
145,7723479_132865_emenda_jus.txt_113,0.2658089625506309
146,7723479_132865_emenda_jus.txt_119,0.22254544082403774
147,7723356_132865_emenda_jus.txt_3,0.17630104463382956
148,7723356_132865_emenda_jus.txt_5,0.1787583969503914
149,7723356_132865_emenda_jus.txt_7,0.186700099971658
150,7723356_132865_emenda_jus.txt_9,0.20007298246993457
151,7723356_132865_emenda_jus.txt_13,0.2217911361622053
152,7723356_132865_emenda_jus.txt_21,0.19827075144296796
153,7723356_132865_emenda_jus.txt_23,0.22415572509758924
154,7723356_132865_emenda_jus.txt_25,0.22046538417567746
155,7723356_132865_emenda_jus.txt_43,0.2217911361622053
156,7723356_132865_emenda_jus.txt_57,0.21124529434497083
157,7723356_132865_emenda_jus.txt_59,0.27141251829517604
158,7723356_132865_emenda_jus.txt_63,0.27141251829517604
159,7723356_132865_emenda_jus.txt_73,0.2125102400610093
160,7723356_132865_emenda_jus.txt_81,0.22897618280976073
161,7723356_132865_emenda_jus.txt_87,0.2505232835875992
162,7723356_132865_emenda_jus.txt_95,0.24698464030696682
163,7723356_132865_emenda_jus.txt_99,0.0
164,7723356_132865_emenda_jus.txt_103,0.0
165,7723356_132865_emenda_jus.txt_109,0.2912879171493989
166,7723356_132865_emenda_jus.txt_113,0.27961492070032123
167,7723356_132865_emenda_jus.txt_119,0.2217911361622053
168,7723488_132865_emenda_jus.txt_3,0.199796677104359
169,7723488_132865_emenda_jus.txt_5,0.20238391363849706
170,7723488_132865_emenda_jus.txt_7,0.20773662344837926
171,7723488_132865_emenda_jus.txt_9,0.18791818492715834
172,7723488_132865_emenda_jus.txt_13,0.2193097924319748
173,7723488_132865_emenda_jus.txt_21,0.20175594578096176
174,7723488_132865_emenda_jus.txt_23,0.20837250118502532
175,7723488_132865_emenda_jus.txt_25,0.2236074782675149
176,7723488_132865_emenda_jus.txt_43,0.2193097924319748
177,7723488_132865_emenda_jus.txt_57,0.20703088006350787
178,7723488_132865_emenda_jus.txt_59,0.269127008258243
179,7723488_132865_emenda_jus.txt_63,0.269127008258243
180,7723488_132865_emenda_jus.txt_73,0.2327837213128746
181,7723488_132865_emenda_jus.txt_81,0.21837955106889806
182,7723488_132865_emenda_jus.txt_87,0.24317941924299466
183,7723488_132865_emenda_jus.txt_95,0.2519965948678163
184,7723488_132865_emenda_jus.txt_99,0.0
185,7723488_132865_emenda_jus.txt_103,0.0
186,7723488_132865_emenda_jus.txt_109,0.2820423272191842
187,7723488_132865_emenda_jus.txt_113,0.26543231559602015
188,7723488_132865_emenda_jus.txt_119,0.2193097924319748
189,7723656_132865_emenda_jus.txt_3,0.19792707777236987
190,7723656_132865_emenda_jus.txt_5,0.20858930510009574
191,7723656_132865_emenda_jus.txt_7,0.21001460485356185
192,7723656_132865_emenda_jus.txt_9,0.20155754383681102
193,7723656_132865_emenda_jus.txt_13,0.21512172952729838
194,7723656_132865_emenda_jus.txt_21,0.18782580462338538
195,7723656_132865_emenda_jus.txt_23,0.21663042724572165
196,7723656_132865_emenda_jus.txt_25,0.21901739451807248
197,7723656_132865_emenda_jus.txt_43,0.21512172952729838
198,7723656_132865_emenda_jus.txt_57,0.2095861869996836
199,7723656_132865_emenda_jus.txt_59,0.2666620152580771
200,7723656_132865_emenda_jus.txt_63,0.2666620152580771
201,7723656_132865_emenda_jus.txt_73,0.23293409278167052
202,7723656_132865_emenda_jus.txt_81,0.21683484201283726
203,7723656_132865_emenda_jus.txt_87,0.255584922143141
204,7723656_132865_emenda_jus.txt_95,0.24950035295015643
205,7723656_132865_emenda_jus.txt_99,0.0
206,7723656_132865_emenda_jus.txt_103,0.0
207,7723656_132865_emenda_jus.txt_109,0.2782761827957001
208,7723656_132865_emenda_jus.txt_113,0.26672990668590973
209,7723656_132865_emenda_jus.txt_119,0.21512172952729838
210,7721341_132865_emenda_jus.txt_3,0.19779280004179273
211,7721341_132865_emenda_jus.txt_5,0.19128589292985565
212,7721341_132865_emenda_jus.txt_7,0.2109821925782213
213,7721341_132865_emenda_jus.txt_9,0.19176718404497195
214,7721341_132865_emenda_jus.txt_13,0.22097253580885273
215,7721341_132865_emenda_jus.txt_21,0.20950729282479366
216,7721341_132865_emenda_jus.txt_23,0.21411258979576822
217,7721341_132865_emenda_jus.txt_25,0.23588142561786365
218,7721341_132865_emenda_jus.txt_43,0.22097253580885273
219,7721341_132865_emenda_jus.txt_57,0.2104274313972926
220,7721341_132865_emenda_jus.txt_59,0.25736314548696154
221,7721341_132865_emenda_jus.txt_63,0.25736314548696154
222,7721341_132865_emenda_jus.txt_73,0.21790730105736464
223,7721341_132865_emenda_jus.txt_81,0.22521234141113503
224,7721341_132865_emenda_jus.txt_87,0.24720207908003405
225,7721341_132865_emenda_jus.txt_95,0.24255234077514418
226,7721341_132865_emenda_jus.txt_99,0.0
227,7721341_132865_emenda_jus.txt_103,0.0
228,7721341_132865_emenda_jus.txt_109,0.2877824216104998
229,7721341_132865_emenda_jus.txt_113,0.2709626146278183
230,7721341_132865_emenda_jus.txt_119,0.22097253580885273
