,files,mean_distance,variance,standard_deviation,sqd_means,total_distances
0,plmoro_10medidas.txt,0.00473336504167394,1.864674007838622e-07,0.00043181871286902585,2.259121201852491e-05,209.52240356969696
1,plmoro_parecer2-20181107.txt,0.041204852046911794,1.1561877193818847e-05,0.0034002760467083913,0.0017094017094017098,24.1048384474434
2,plmoro_parecer2-225810.txt,0.007326256962501581,3.0706553208270033e-07,0.0005541349403193236,5.398110661268564e-05,135.71891023034178
3,plmoro_Emenda-20181107.txt,0.035691898879037065,8.139636459875201e-06,0.002853004812452163,0.0012820512820512818,27.83968112564891
4,plmoro_parecer1-20181107.txt,0.041204852046911794,1.1561877193818847e-05,0.0034002760467083913,0.0017094017094017098,24.1048384474434
5,plmoro_parecer1-225810.txt,0.011297332948950085,5.753964456950111e-07,0.0007585489079123449,0.00012820512820512858,88.11919700181066
6,plmoro_inteiroTeor-225810.txt,0.008477760590495596,3.558166125655129e-07,0.0005965036567914004,7.22282412423257e-05,117.37459537541153
7,10medidas_plmoro.txt,0.004731687362923574,1.8653654170214444e-07,0.00043189876325609505,2.2575401842152764e-05,209.59482342806263
8,10medidas_parecer2-20181107.txt,0.03827641862611684,9.842030845571789e-06,0.0031372011165323446,0.0014749262536873154,25.951411828507215
9,10medidas_parecer2-225810.txt,0.006800748081062472,3.2644407541928127e-07,0.0005713528466887002,4.6576618537494e-05,146.0120613004113
10,10medidas_Emenda-20181107.txt,0.033155850695716964,6.884254908811622e-06,0.002623786368744914,0.0011061946902654867,29.972889028928133
11,10medidas_parecer1-20181107.txt,0.03827641862611684,9.842030845571789e-06,0.0031372011165323446,0.0014749262536873154,25.951411828507215
12,10medidas_parecer1-225810.txt,0.010486894730109267,6.445079461551481e-07,0.000802812522420489,0.0001106194690265481,94.80152836018777
13,10medidas_inteiroTeor-225810.txt,0.00786925965595057,3.9558008781949416e-07,0.0006289515782788801,6.232082762059093e-05,126.27014043938286
14,parecer2-20181107_plmoro.txt,0.0410996954309964,1.1495307588177448e-05,0.003390473062594282,0.0017006802721088433,24.16662091342588
15,parecer2-20181107_10medidas.txt,0.03819221323796197,9.783629190154172e-06,0.0031278793439252373,0.0014684287812041115,26.0088972150521
